epoch: 330, val psnr: 42.75, val ssim: 0.9605
epoch: 331, train loss: 6.4566e-03, train psnr: 41.50
epoch: 332, train loss: 6.8949e-03, train psnr: 40.32
epoch: 333, train loss: 5.9619e-03, train psnr: 41.79
epoch: 334, train loss: 6.6761e-03, train psnr: 41.14
epoch: 335, train loss: 6.1402e-03, train psnr: 41.58
epoch: 335, val psnr: 42.72, val ssim: 0.9609
epoch: 336, train loss: 6.3022e-03, train psnr: 41.50
epoch: 337, train loss: 6.0018e-03, train psnr: 41.85
epoch: 338, train loss: 6.6673e-03, train psnr: 41.15
epoch: 339, train loss: 6.4235e-03, train psnr: 41.23
epoch: 340, train loss: 6.3811e-03, train psnr: 40.94
epoch: 340, val psnr: 41.96, val ssim: 0.9531
epoch: 341, train loss: 6.4670e-03, train psnr: 41.06
epoch: 342, train loss: 6.2408e-03, train psnr: 41.50
epoch: 343, train loss: 6.3482e-03, train psnr: 41.10
epoch: 344, train loss: 6.2150e-03, train psnr: 41.46
epoch: 345, train loss: 6.7809e-03, train psnr: 40.76
epoch: 345, val psnr: 42.26, val ssim: 0.9515
epoch: 346, train loss: 6.7805e-03, train psnr: 40.46
epoch: 347, train loss: 6.5507e-03, train psnr: 41.13
epoch: 348, train loss: 6.5791e-03, train psnr: 41.16
epoch: 349, train loss: 6.1883e-03, train psnr: 41.50
epoch: 350, train loss: 6.4752e-03, train psnr: 41.13
epoch: 350, val psnr: 41.67, val ssim: 0.9546
epoch: 351, train loss: 6.8091e-03, train psnr: 40.46
epoch: 352, train loss: 6.6869e-03, train psnr: 41.05
epoch: 353, train loss: 5.9425e-03, train psnr: 41.80
epoch: 354, train loss: 6.4927e-03, train psnr: 41.01
epoch: 355, train loss: 5.9754e-03, train psnr: 41.74
epoch: 355, val psnr: 41.99, val ssim: 0.9517
epoch: 356, train loss: 6.1921e-03, train psnr: 41.96
epoch: 357, train loss: 6.6002e-03, train psnr: 41.24
epoch: 358, train loss: 6.3343e-03, train psnr: 41.26
epoch: 359, train loss: 5.9896e-03, train psnr: 41.69
epoch: 360, train loss: 6.1491e-03, train psnr: 41.68
epoch: 360, val psnr: 43.28, val ssim: 0.9595
best epoch: 360, val psnr: 43.28, saved
epoch: 361, train loss: 7.0750e-03, train psnr: 40.25
epoch: 362, train loss: 6.3092e-03, train psnr: 41.33
epoch: 363, train loss: 6.9696e-03, train psnr: 40.99
epoch: 364, train loss: 6.4515e-03, train psnr: 41.06
epoch: 365, train loss: 6.5945e-03, train psnr: 41.02
epoch: 365, val psnr: 42.94, val ssim: 0.9604
epoch: 366, train loss: 6.7011e-03, train psnr: 40.59
epoch: 367, train loss: 6.7135e-03, train psnr: 40.99
epoch: 368, train loss: 6.5041e-03, train psnr: 40.95
epoch: 369, train loss: 6.7936e-03, train psnr: 40.83
epoch: 370, train loss: 6.2764e-03, train psnr: 41.23
epoch: 370, val psnr: 42.18, val ssim: 0.9548
epoch: 371, train loss: 6.2717e-03, train psnr: 41.25
epoch: 372, train loss: 6.6261e-03, train psnr: 41.02
epoch: 373, train loss: 6.5019e-03, train psnr: 40.88
epoch: 374, train loss: 5.9683e-03, train psnr: 41.76
epoch: 375, train loss: 6.4566e-03, train psnr: 41.13
epoch: 375, val psnr: 42.68, val ssim: 0.9622
epoch: 376, train loss: 6.2894e-03, train psnr: 40.86
epoch: 377, train loss: 6.6204e-03, train psnr: 41.05
epoch: 378, train loss: 6.6199e-03, train psnr: 41.15
epoch: 379, train loss: 6.6321e-03, train psnr: 40.73
epoch: 380, train loss: 6.6085e-03, train psnr: 40.87
epoch: 380, val psnr: 43.50, val ssim: 0.9660
best epoch: 380, val psnr: 43.50, saved
epoch: 381, train loss: 6.3083e-03, train psnr: 41.23
epoch: 382, train loss: 6.1755e-03, train psnr: 41.76
epoch: 383, train loss: 6.7564e-03, train psnr: 40.94
epoch: 384, train loss: 6.3988e-03, train psnr: 41.09
